status,source_file,output_file,preset,original_size_bytes,converted_size_bytes,message
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/phytotratha facial - creme de massagem facial lift solution.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/card/pytotratha/phytotratha facial - creme de massagem facial lift solution_card.webp,card,47890,9168,46.8 KB -> 9.0 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/phytotratha facial - creme de massagem facial lift solution.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/detail/pytotratha/phytotratha facial - creme de massagem facial lift solution_detail.webp,detail,47890,22932,46.8 KB -> 22.4 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/phytotratha facial - creme de massagem facial lift solution.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/hero/pytotratha/phytotratha facial - creme de massagem facial lift solution_hero.webp,hero,47890,31540,46.8 KB -> 30.8 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/bb-cream-fps-50-ppd-18-natural-60g.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/thumbnail/pytotratha/bb-cream-fps-50-ppd-18-natural-60g_thumbnail.webp,thumbnail,43601,2176,42.6 KB -> 2.1 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/bb-cream-fps-50-ppd-18-natural-60g.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/card/pytotratha/bb-cream-fps-50-ppd-18-natural-60g_card.webp,card,43601,7004,42.6 KB -> 6.8 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/bb-cream-fps-50-ppd-18-natural-60g.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/detail/pytotratha/bb-cream-fps-50-ppd-18-natural-60g_detail.webp,detail,43601,20832,42.6 KB -> 20.3 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/bb-cream-fps-50-ppd-18-natural-60g.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/hero/pytotratha/bb-cream-fps-50-ppd-18-natural-60g_hero.webp,hero,43601,30688,42.6 KB -> 30.0 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/fluido-hiperemiante-com-nicotinato-thermo-redux-1l.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/thumbnail/pytotratha/fluido-hiperemiante-com-nicotinato-thermo-redux-1l_thumbnail.webp,thumbnail,39373,1808,38.5 KB -> 1.8 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/fluido-hiperemiante-com-nicotinato-thermo-redux-1l.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/card/pytotratha/fluido-hiperemiante-com-nicotinato-thermo-redux-1l_card.webp,card,39373,6276,38.5 KB -> 6.1 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/fluido-hiperemiante-com-nicotinato-thermo-redux-1l.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/detail/pytotratha/fluido-hiperemiante-com-nicotinato-thermo-redux-1l_detail.webp,detail,39373,18650,38.5 KB -> 18.2 KB
